tag,release_datetime
v1.0.3,2024-05-02T09:09:40
v1.0.6,2024-05-29T09:08:43
v1.0.7,2024-06-11T09:08:39
v1.0.8,2024-06-18T09:09:23
v1.0.9,2024-06-25T09:34:11
v1.0.10,2024-07-02T09:11:10
v1.0.11,2024-07-09T09:16:14
v1.0.12,2024-07-23T09:13:10
v1.0.13,2024-07-30T09:37:21
v1.0.14,2024-08-06T09:14:27
v1.0.15,2024-08-13T09:14:29
v1.0.16,2024-08-20T09:48:58
v1.0.17,2024-08-27T10:19:42
v1.0.18,2024-09-03T09:32:39
v1.0.19,2024-09-10T09:20:45
v1.0.20,2024-09-17T09:13:23
v1.0.21,2024-09-24T09:14:56
v1.0.22,2024-10-01T09:07:57
v1.0.23,2024-10-08T09:07:45
v1.1.0,2024-10-22T09:19:14
v1.1.1,2024-10-22T09:26:02
v1.1.2,2024-10-29T10:39:11
v1.1.3,2024-11-05T11:01:34
v1.1.4,2024-11-12T11:02:22
v1.1.5,2024-11-19T10:31:37
v1.1.6,2024-11-26T10:27:49
v1.1.7,2024-12-03T10:36:12
v1.1.8,2024-12-10T10:23:40
v1.1.9,2025-01-14T10:50:36
v1.1.10,2025-01-21T10:27:43
v1.1.11,2025-01-28T10:17:38
v1.1.12,2025-02-11T10:27:22
v1.1.13,2025-02-18T10:30:48
v1.1.14,2025-03-04T10:30:26
v1.1.15,2025-03-11T10:41:13
v1.1.16,2025-03-18T10:10:52
v1.1.17,2025-03-25T10:25:08
v1.1.18,2025-04-01T09:15:01
v1.1.19,2025-04-08T09:21:02
v1.1.20,2025-04-15T09:27:10
v1.1.21,2025-04-29T09:24:31
v1.1.22,2025-05-13T09:20:25
v1.1.23,2025-06-03T09:20:49
v1.1.24,2025-06-10T09:27:08
v1.1.26,2025-07-08T09:14:18
v1.1.27,2025-07-16T09:11:08
v1.1.28,2025-07-22T09:40:38
v1.1.29,2025-07-29T09:15:29
v1.1.30,2025-08-14T09:23:14
v1.1.31,2025-08-19T09:18:06
v1.1.32,2025-09-02T09:12:25
v1.1.33,2025-09-16T09:15:33
v1.1.34,2025-09-23T09:39:41
v1.1.35,2025-10-07T09:12:49
v1.1.36,2025-10-14T09:18:56
v1.1.37,2025-10-28T11:12:51
v1.1.38,2025-11-04T11:22:27
v1.1.39,2025-11-11T10:35:33
v1.1.40,2025-11-18T10:57:04
v1.1.41,2025-11-25T10:11:41
v1.1.42,2025-12-02T10:15:48
v1.1.43,2025-12-09T10:28:57
v1.1.44,2025-12-16T10:21:16
v1.1.45,2026-01-13T10:10:10
v1.1.46,2026-01-20T10:21:01
v1.1.47,2026-01-27T10:18:41
v1.1.48,2026-02-03T10:32:01
v1.1.49,2026-02-11T10:48:12
v1.1.50,2026-02-17T11:47:23
v1.1.51,2026-02-24T10:23:03
v1.1.52,2026-03-03T10:14:13
v1.1.53,2026-03-10T10:28:35
v1.1.54,2026-03-17T10:31:57
v1.1.57,2026-04-21T09:10:38
