tag,release_datetime
ff9c30b,2024-03-13T10:43:08
2bbfe7c,2024-03-13T11:19:27
b63e260,2024-03-13T15:51:17
v1.0.1,2024-03-13T16:14:42
66cc0cf,2024-04-16T13:27:43
c0b6419,2024-04-18T08:43:09
49951fe,2024-04-18T09:06:11
v1.0.2,2024-04-18T11:45:55
v1.0.3,2024-04-30T13:11:47
v1.0.4,2024-05-17T09:24:51
v1.0.5,2024-05-21T09:22:41
v1.0.6,2024-05-23T10:05:16
v1.0.7,2024-06-04T13:16:51
v1.0.8,2024-06-13T09:16:48
v1.0.9,2024-06-20T07:46:03
e9f6a05,2024-06-26T14:43:52
v1.0.10,2024-06-27T08:04:31
v1.0.11,2024-07-04T08:03:38
v1.0.12,2024-07-18T08:59:54
v1.0.13,2024-07-25T08:49:58
v1.0.14,2024-08-01T10:05:44
v1.0.15,2024-08-08T09:44:56
v1.0.16,2024-08-15T14:32:31
v1.0.17,2024-08-21T10:50:50
v1.0.18,2024-08-29T09:24:27
v1.0.19,2024-09-06T10:39:55
v1.0.20,2024-09-12T09:08:29
v1.0.21,2024-09-19T09:13:59
v1.0.22,2024-09-26T09:24:11
v1.0.23,2024-10-03T09:03:05
c1ced91,2024-10-07T14:42:04
v1.1.0,2024-10-10T08:52:44
v1.1.1,2024-10-17T08:27:38
v1.1.2,2024-10-24T09:58:10
v1.1.3,2024-10-31T10:27:14
v1.1.4,2024-11-07T14:06:05
v1.1.5,2024-11-15T11:27:11
v1.1.6,2024-11-21T11:12:05
v1.1.7,2024-11-28T13:01:30
v1.1.8,2024-12-05T12:46:49
v1.1.9,2025-01-08T15:57:20
v1.1.10,2025-01-16T09:17:59
v1.1.11,2025-01-23T11:04:47
v1.1.12,2025-02-07T10:10:29
v1.1.13,2025-02-13T09:44:22
v1.1.14,2025-02-26T13:26:38
v1.1.15,2025-03-06T08:51:07
v1.1.16,2025-03-13T09:09:08
v1.1.17,2025-03-20T09:03:38
v1.1.18,2025-03-27T11:34:54
v1.1.19,2025-04-03T09:51:13
v1.1.20,2025-04-14T12:09:01
v1.1.21,2025-04-24T10:32:44
v1.1.22,2025-05-08T11:37:20
v1.1.23,2025-05-29T09:49:45
v1.1.24,2025-06-09T11:25:21
v1.1.25,2025-06-12T15:18:11
v1.1.26,2025-07-07T12:49:46
v1.1.27,2025-07-14T08:10:17
v1.1.28,2025-07-17T08:37:26
v1.1.29,2025-07-23T14:46:36
bb8b51b,2025-08-01T18:35:07
v1.1.30,2025-08-08T11:08:27
v1.1.31,2025-08-13T23:01:22
v1.1.32,2025-08-27T11:30:05
v1.1.33,2025-09-11T11:47:29
v1.1.34,2025-09-17T10:37:02
v1.1.35,2025-10-01T12:01:02
v1.1.36,2025-10-08T12:02:47
v1.1.37,2025-10-23T10:09:46
v1.1.38,2025-10-29T13:48:56
v1.1.39,2025-11-05T13:14:26
v1.1.40,2025-11-13T10:00:28
v1.1.41,2025-11-20T11:17:11
v1.1.42,2025-11-26T14:28:37
v1.1.43,2025-12-03T14:05:11
v1.1.44,2025-12-10T12:59:29
v1.1.45,2026-01-08T09:00:08
v1.1.46,2026-01-14T14:56:14
v1.1.47,2026-01-21T11:19:31
v1.1.48,2026-01-28T17:13:00
v1.1.49,2026-02-04T11:56:53
v1.1.50,2026-02-11T12:26:59
v1.1.51,2026-02-19T08:35:16
v1.1.52,2026-02-25T11:19:37
v1.1.53,2026-03-06T09:36:16
v1.1.54,2026-03-12T10:26:49
v1.1.55,2026-03-23T11:18:21
v1.1.56,2026-03-30T10:38:17
v1.1.57,2026-04-13T16:21:28
v1.1.58,2026-04-20T12:15:43
